jobs,description,workhours,salary,contract_type,experience,diploma,skills,qualifications,industry,company,size,company_description,tools,ID_dep,ville,date
ANALYSTE APPLICATIF DATA FINANCE RH,"Dans le cadre d'un important projet avec un groupe international, nous recherchons un Analyste applicatif data domaine finance et rh.
Intégré à la dsi et encadré par son responsable, vous pilotez et contribué au maintien de la qualité de fonctionnement et au support des applications placées sous votre responsabilité.

Vous êtes féru de manipulation de données et possédez une première expérience dans le domaine IT lié à la Finance et ou RH

De formations supérieure en informatique, vous avez une expérience de 10 ans minimum dans un poste équivalent. Vous possédez une grande aisance dans la manipulation de données et souhaitez travailler dans des projets d'envergure dans un contexte international.
Anglais professionnel nécessaire, contexte international.",35H Travail en journée,50000.0 - 60000.0,Contrat à durée indéterminée,2 ans,,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une étude,Rédiger l'information produite",Cadre,Conseil en systèmes et logiciels informatiques,INFORMATIS T.S.,6 à 9 salariés,,,92,ISSY LES MOULINEAUX,2023/08/31
Alternant(e) en data analyse,"La Caisse Primaire d'Assurance Maladie du Tarn-et-Garonne recrute un(e) Alternant(e) en data analyse pour la rentrée 2023-2024.
L'alternant(e) en data anaylse effectue des analyses pour aider à la décision d'actions ciblées sur le territoire en direction des professionnelles de santé, des établissements et/ou des assurés. Il concourt à l'analyse des dépenses de santé et répond aux commandes internes. 

Le poste est à pourvoir au siège de Montauban.

Missions :
- Utiliser, construire, gérer et exploiter les données nécessaires issues des différents systèmes d'informations disponibles pour répondre aux besoins et aux enjeux des acteurs internes, en termes d'outils, d'analyse et d'aide à la décision,
- Participer à la réalisation de diagnostics démographiques territoriaux afin d'éclairer la connaissance des agents et des partenaires,
- Contrôler et contribuer à la qualité et à la fiabilité des chiffres produits ainsi qu'à leur bonne interprétation,
- Mettre en forme des données afin d'en faciliter la compréhension, l'identification et anticipation de futurs levier stratégiques ou opérationnels pour la CPAM,
- Suivi des dépenses afférentes aux dépenses de santé : réalisation du tableau de bord annuel et production d'études détaillés.
- Analyse détaillée des dépenses de transport dans le département et/ou par territoire
- Appui éventuel sur des études ou des évaluations gérées par d'autres membres de l'équipe.

Mode de recrutement : entretien

PROFIL 

Formation : Formation initiale Bac +3 ou 4 requise
Aptitudes requises : connaissance des logiciels d'analyse statistiques et de gestion de données; qualités relationnelles et capacité de travailler en équipe; esprit d'analyse et de synthèse; sens des responsabilités et autonomie dans un fonctionnement collectif; capable de s'intégrer dans un organisme de sécurité sociale.

Vous savez vous conformer aux exigences de la politique de sécurité du système d'information de l'organisme.

Les candidatures (CV et lettre de motivation) sont à transmettre à l'attention de Madame Sandra BALLET, Responsable des Ressources Humaines, avant le 15/09/2023 en postulant à cette offre d'emploi.

Dans le cadre de sa politique de diversité, la CPAM du Tarn et Garonne s'engage à étudier à compétences égales, les candidatures des personnes en situation de handicap.",35H Travail en journée,,Contrat à durée déterminée - 12 Mois,Débutant accepté,"Bac+3, Bac+4 ou équivalents","Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une étude,Rédiger l'information produite",Employé qualifié,Activités générales de sécurité sociale,CPAM,200 à 249 salariés,"La CPAM de Tarn et Garonne gère une population de 231200 bénéficiaires, compte 181 ETP, verse 760 millions d'euros de prestations dans un contexte de forte augmentation de la population du département.Le poste est à pourvoir au siège situé sur Montauban.Vous souhaitez participer à des missions au cœur des enjeux de la protection sociale, rejoindre une entreprise sensible aux enjeux sociétaux (accord télétravail, forfait mobilité durable ...) . Rejoignez-nous !",tableau,82,MONTAUBAN,2023/08/31
Alternant Data Analyst,"******* Un poste d'Alternant Data Analyst est à pourvoir *******

Dans le cadre d'une création de poste, nous recherchons pour notre site de Marans (17) un stagiaire  Supply Chain Data Analyst F/H.

Rattaché à la direction Supply Chain et au sein d'une équipe « Projets et SI Supply Chain » de 3 personnes, vos missions seront les suivantes :

- Recenser les besoins en data métiers avec les parties prenantes de la Direction Supply Chain (Appro, Achats, Données 
- Techniques, Logistique ), aider à leur définition et challenger les exigences métiers ;
- Diffuser la culture de la donnée, du chiffre et du résultat au sein des équipes opérationnelles Supply Chain en apportant une vision cohérente du résultat ;
- Etablir des KPI métiers SMART (specific, measurable, achievable, relevant and time-bound) afin d'évaluer les performances et participer activement à l'élaboration de plan d'actions ;
- Analyser et s'assurer de la fiabilité des données puis en interpréter les résultats ;
- Concevoir et développer des solutions d'automatisation de reporting, KPIs et tableaux de bord permettant de piloter, améliorer et accélérer la performance et la prise de décision de la Supply Chain Groupe.
- Depuis l'ERP Busines Central Microsoft, construire et mettre à jour les analyses mensuelles des prévisions de demande (précisions, analyse des écarts, consolidation), les analyses de stocks spécifiques (stocks à rotation lente, stocks de sécurité ) et animer des actions pour réduire ces stocks.
- Soutenir l'équipe sur d'autres missions ponctuelles
- Remonter les dysfonctionnements process et participer activement aux programmes d'amélioration continue Groupe.

Profil recherché : Vous êtes issu d'une formation type Ecole d'ingénieur en analyste statistique et décisionnelle et en Supply Chain.

- Vous maitrisez Excel de manière avancée (macro, TCD ), ainsi que Power Bi et l'ERP Microsoft Business Central.
- Vous êtes orienté business et connaissez les différents métiers et process de la Supply Chain (Prévisions, S&OP, Achat, ADV, Appros,  )
- Des bonnes connaissances en gestion de bases de données et programmation appréciées.

Motivé, curieux, rigoureux, et pragmatique, vous vous adaptez facilement et vous avez un esprit d'analyse et d'équipe.
Vous également un attrait pour le milieu de la navigation de plaisance.",35H Travail en journée,,Contrat à durée déterminée - 24 Mois,6 mois,"Bac+3, Bac+4 ou équivalents - Ecole d'ingénieur en  en analyste","Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une étude,Rédiger l'information produite","Ouvrier qualifié (P1,P2)",Construction de navires et de structures flottantes,CATANA GROUP,1 ou 2 salariés,"L'entreprise :Le Groupe Catana est une société cotée en forte expansion, spécialisée dans la conception et la fabrication des Catamarans Bali et Catana. Disposant de 5 sites de production (3 France, 1 en Tunisie et 1 au Portugal) et d'une base de services, le Groupe emploie aujourd'hui plus de 1 300 personnes, totalement fédérées autour du projet d'entreprise proposant des concepts innovants et écoresponsables","tableau, power bi",17,MARANS,2023/08/31
Chef(fe) de projets data management    ,"Vous aurez pour mission d'assurer le suivi des activités de data management / statistiques confiées à Eurofins Optimed.

Dans ce contexte, vous assurerez :
- La participation à l'organisation et la coordination des équipes internes et sous-traitants ;
- L'interface avec les équipes cliniques et les clients ;
- Le suivi budgétaire des projets ;
- La participation à l'élaboration et à la revue des devis ;
- La revue des protocoles ;
- L'organisation et l'animation des réunions de revues de données ;
- Le suivi des actions menées ;
- La participation à la rédaction de documents qualités (SOP, MO).

Qualifications :
Titulaire d'un diplôme en gestion des données et / ou statistiques et justifiant d'une expérience réussie dans ce domaine.
Vous possédez une bonne maîtrise des outils informatiques de gestion de données.
Vous bénéficiez d'un bon niveau d'anglais à l'oral et à l'écrit compte tenu de la nature des échanges à l'international.
La connaissance du standard CDISC serait un plus.
Vous avez une facilité à communiquer et à travailler en équipe tout en restant autonome.
Vous disposez d'une bonne aisance relationnelle.

Informations supplémentaires :
Ce poste est basé à Gières (38) et / ou en télétravail.
CDI - temps plein.
Prise de fonction : dès que possible.
Salaire annuel brut entre 30 000 € et 36 000 € selon expérience.

Avantages :
- Participation.
- Mutuelle familiale et prévoyance.
- Prime d'ancienneté.
- Titres restaurant.

Présentation de notre entreprise : https://smrtr.io/cHpzy",35H Travail en journée,30000.0 - 36000.0,Contrat à durée indéterminée,1 an,Bac+2 ou équivalents,"Concevoir et gérer un projet,Concevoir un logiciel, un système d'informations, une application,Évaluer le résultat de ses actions",Cadre,Recherche-développement en sciences humaines et sociales,EUROFINS OPTIMED,50 à 99 salariés,"EUROFINS OPTIMED, centre de recherche Clinique fondé en 1990, est le centre de compétence clinique du groupe EUROFINS.Depuis plus de 30 ans, EUROFINS OPTIMED participe au développement de nouveaux produits de santé, médicaments, dispositifs médicaux ou produits alimentaires.EUROFINS OPTIMED est aujourd'hui reconnue comme l'un des leaders européens en matière de recherche clinique et d'évaluation de la sécurité des produits de santé.",,38,GIERES,2023/08/31
Collaborateur comptable / DATA contrôleur,"Dans un environnement en pleine transformation digitale, vous intégrez l'équipe chargée de la Comptabilité Fournisseurs au sein de la Direction des Services Comptables et Financiers située à Strasbourg.

Vos missions & votre évolution :
Intégré au sein d'une équipe dynamique et structurée, vos principales missions seront :

 - Réalisation des travaux quotidiens de production comptable : saisie de factures de frais généraux et d'immobilisation, analyse et suivi de comptes, etc.,
 - Identification des cas problématiques et potentiels d'optimisation, en étant force de proposition dans leur résolution,
- Épauler le management dans la mise en place d'outils de digitalisation, notamment pour l'intégration de la data en comptabilité,
- Aide à la préparation d'indicateurs financiers : reporting, KPI, etc.

Le profil idéal :
- Vous êtes diplômé d'un Bac+3 ou équivalent en Comptabilité, Gestion, Audit ou Finances, ou êtes issu d'une formation scientifique avec de solides connaissances comptables,
- Vous justifiez d'une première expérience professionnelle réussie dans l'un de ces domaines, idéalement en cabinet d'expertise comptable,
 - Vous maîtrisez parfaitement les outils informatiques (notamment Excel, voir VBA) et avez une forte appétence pour les nouvelles technologies,
- Vous avez un goût prononcé pour le travail en équipe,
- Vous avez un très fort sens de l'organisation,
- Vous êtes rigoureux, autonome et orienté « optimisation »,
- Vous aimez travailler dans un contexte international et très dynamique,
- La maîtrise de l'allemand et/ou de l'anglais est un plus.

Ce que nous vous proposons :
- Un poste en CDI au sein de notre siège administratif à Strasbourg,
- Un package d'avantages intéressant : rémunération attractive sur 13 mois, participation et/ ou d'intéressement, prime de cooptation, mutuelle, CSE,
- Un accord télétravail jusqu'à 2 jours par semaine selon vos missions,
- Une formation approfondie à nos métiers et à nos process,
- Des nouveaux locaux inspirants et un environnement de travail agréable.
Tous nos postes sont ouverts aux personnes en situation de handicap. Selon les besoins spécifiques de chacun, un aménagement matériel et/ou organisationnel du poste de travail sera étudié.",35H Travail en journée,,Contrat à durée indéterminée,1 an,,"Audit comptable,Audit comptable et financier,Concevoir des supports de suivi et de gestion,Expliquer et faire respecter les règles et procédures,Méthodes et procédures de contrôle comptable,Procédures de contrôle comptable,Réaliser des opérations comptables,Utiliser les outils bureautiques,Élaborer des procédures administratives ou comptables,kpi,mise en place d'outils comptables (DATA,...),préparation d'indications financiers,reporting",Agent de maîtrise,Activités des sièges sociaux,LIDL,250 à 499 salariés,,,67,STRASBOURG,2023/08/31
Consultant Data Viz Engineer,"En tant que Data Viz, vous concevez les analyses des données afin qu'elles répondent aux besoins clients. Voici les activités que vous réaliserez :

Vous serez responsable de l'analyse des données afin d'accompagner les clients dans leurs décisions.
Vous utiliserez des outils statistiques et de visualisations pour collecter, nettoyer, explorer et modéliser les données.
Vous travaillerez en étroite collaboration avec les équipes Data et les développeurs pour définir les besoins et mettre en place les architectures de données les plus appropriées.

Vous êtes fait(e) pour nous rejoindre si :

   Une expérience en analyse de données et utilisation d'outils de visualisation (Tableau, Power BI, etc.).

   Une première utilisation de plateforme de données (Hadoop, Spark, etc.)

   La maitrise des sujets technologiques suivants :

Langages : SQL, DAX, Power Query,
Type de stockage : Direct Query, Import, Hybride,
Analysis Services,
Optimisation Power BI (licencing, premium capacity),
Databricks SQL serait un plus.
   Des connaissances OPDG, Data sources & VNET.

   La maitrise des techniques statistiques & de modélisation pour l'analyse de données.

   Une connaissance des concepts de Data Warehousing/BI.",39H Travail en journée,35000.0 - 50000.0,Contrat à durée indéterminée,Débutant accepté,,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une veille documentaire,Rédiger l'information produite",Cadre,Programmation informatique,CELLENZA,1 ou 2 salariés,,"tableau, power bi, databricks",75,PARIS 08,2023/08/31
Data Scientist,"Description du poste

Contexte : 
Afin de soutenir son ambition de croissance, Somfy investit dans le renforcement de ses capacités digitales afin d'extraire de la valeur du digital et des données.
Une Digital Factory est en place pour construire un avantage concurrentiel fort en développant nos capacités data et digitales.
-	La Digital Factory rassemble des talents du numérique pour accompagner le développement de solutions innovantes basées sur l'algorithme et l'analytique avancée, augmenter les capacités digitales au sein de nos équipes, adopter de nouvelles méthodes de travail (par exemple, agiles) et globalement fournir un environnement efficace et attractif pour les talents et projets digitaux chez SOMFY.
-	La Digital Factory conçoit, construit, exploite et met à niveau les solutions numériques propriétaires de SOMFY et déploie des solutions dans les entreprises / pays garantissant le bon niveau de localisation et d'adoption.

Poste : 
Dans le cadre d'une création de poste, vous rejoindrez une nouvelle équipe mettant en place les bases techniques de la Digital Factory. Vous travaillerez sur un projet digital stratégique pour le Groupe Somfy.
Au sein d'une équipe Data/IA créée from scratch, en tant que Data Scientist, vous développez des modèles et des solutions sur mesure basés sur des ensembles de données complexes, en utilisant des mathématiques avancées et des techniques de visualisation afin de générer de la valeur ajoutée pour l'entreprise, en étroite collaboration avec les différents business.

Missions principales :
-	proposer de nouveaux modèles qui répondent aux besoins business en faisant preuve de créativité ;
-	concevoir et mettre en œuvre un code modulaire et maintenable ;
-	coordonner et être le référent des activités techniques en lien avec les équipes IT, Data et autres afin de répondre aux demandes du Business ;
-	participer à la diffusion de la culture/des compétences Data/IA auprès de l'ensemble des équipes techniques ;
-	challenger et améliorer la stack technique existante et les processus de déploiement ;
-	accompagner, assister et faire progresser les profils juniors présents dans l'équipe.

Nous sommes au début de cette - grande - aventure, et les perspectives sont très belles.
L'équipe se construit, s'agrandit, les échanges sont riches, et des moyens conséquents sont déployés pour parvenir à notre résultat.
Envie de rejoindre l'aventure ?


Qualifications

Formation et expérience :
-	Diplôme de Master ou PHD dans un domaine quantitatif (maths, physique, data science, computer science).
-	5+ années d'expérience en tant que Data Scientist :
o	en industrialisation technique de solutions.
o	en collaboration avec un grand nombre d'interlocuteurs, notamment le business.
-	Expérience dans des méthodologies agiles
-	Idéalement : expérience dans le pilotage d'activités fonctionnelles

Connaissances et savoir-faire :
-	Mathématiques appliquées (ML, optimisation, simulation...).
-	Python (niveau expert)
-	Azure A.I. (ou équivalent)
-	Git
-	Très bonne capacité à comprendre et intégrer des enjeux business
-	Anglais + français : niveau professionnel (B2 minimum)

Soft Skills
-	Entrepreneur(euse) dans l'âme
-	Pro actif(ve) et créatif(ve)
-	Aisance relationnelle et esprit d'équipe
-	Ecoute active
-	Gestion de stress",35H Travail en journée,,Contrat à durée indéterminée,5 ans,,,Employé qualifié,"Fabrication de moteurs, génératrices et transformateurs électriques",SOMFY ACTIVITES SA,500 à 999 salariés,"Partenaire de confiance pour l'automatisation des ouvertures et des fermetures de la maison et du bâtiment, SOMFY s'engage pour inspirer de nouvelles façons de vivre pour tous.Groupe français, familial et indépendant, en croissance continue depuis notre création, nous sommes leader mondial de l'automatisation.Profondément attachés au bien-être de nos 7000 collaborateurs, nous nous engageons pour leur employabilité durable par la mobilité interne et le développement de leurs compétences.",,74,CLUSES,2023/08/30
DATA SCIENTIST - Lyon Part-Dieu (69),"Rattaché.e au Directeur du Data Science Lab, nous recherchons un Data Scientist (F/H) pour rejoindre notre équipe basée à Lyon Part-Dieu (69003).

Sa mission principale sera de participer activement à nos nombreuses initiatives. A ce titre, notre Data Scientist prendra une part active dans le développement de cas d'usage de Data science, et ce pour accompagner l'ensemble des Départements de KONECRANES, offrant ainsi une diversité de thématiques et d'interlocuteurs métiers. Elle / Il interagira avec des profils pluridisciplinaires métiers mais également techniques tels que des Data Engineers, Machine Learning Engineers, experts métier,  

Si les missions ci-dessous vous intéresent, rejoignez-nous !

Interagir avec de multiples acteurs au sein de l'organisation (interlocuteur métier, profils data, IT),
Analyser les données internes de KONECRANES,
Développer des modèles prédictifs en utilisant des algorithmes de Machine Learning afin de répondre à de véritables enjeux métiers,
Exploiter les données structurées et non structurées afin de transformer celles-ci en information,
Communiquer le statut et l'avancement des projets au directeur du lab,
Être actif dans le Data Science Lab, être force de proposition,
Effectuer de la veille technologique autour de la data science et l'intelligence artificielle
Votre profil :

Vous disposez d'un Bac+5 ou plus et vous avez une première expérience réussie dans le domaine de la Data Science ou de l'IA d'au moins 2 ans acquise, de préférence, chez un Client final (hors conseil).

Votre capacité à développer des modèles prédictifs en utilisant des algorithmes de Machine Learning et Deep Learning est reconnue, vous avez une bonne compréhension des algorithmes de Machine Learning (Prediction, Classification, Clustering), une connaissance approfondie de Python (pandas, numpy, scikit-learn), Calculs distribués (Apache Spark), l'environnement Microsoft Azure et de Databricks vous est familier. Une excellente connaissance du SQL est attendu.

Les qualifications suivantes seraient un plus : Méthodologies agiles (Scrum, Kanban), Connaissance des concepts de MLOps, Power BI

Impliqué.e et curieux.se, vous prenez une part active dans le développement du Business auquel vous contribuez. Vous avez un excellent relationnel avec une capacité à résoudre des problèmes complexes avec une envie de collaborer et de grandir au sein de notre équipe.

Vous parlez couramment anglais, échanges au quotidiens à l'oral comme à l'écrit.

Si le projet de contribuer au sein de notre Data Lab vous intéresse et que l'idée de permettre à Konecranes de devenir une société où la Data est au centre des décisions : postulez !

Nos Avantages :
De réelles perspectives d'évolution, flexibilité dans votre travail, accord Télétravail (France), Mutuelle, CSE, prime 13ème mois.",35H Travail en journée,40000.0,Contrat à durée indéterminée,2 ans,Bac+5 et plus ou équivalents data science,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une veille documentaire,Rédiger l'information produite",Cadre,Fabrication de matériel de levage et de manutention,,,,"apache spark, power bi, databricks, scikit-learn",69,LYON 03,2023/08/31
Data scientist,"Afin de compléter notre équipe, nous sommes à la recherche d'un-e docteur-e Data Scientist. 
Débutant accepté
Anglais courant souhaité

Merci de nous faire parvenir CV + Lettre de motivation",35H Travail en journée,36000.0 - 42000.0,Contrat à durée indéterminée,Débutant accepté,Bac+5 et plus ou équivalents data science- DOCTEUR,"Adapter les outils de traitement statistique de données,Big data Analytics,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une veille documentaire,Rédiger l'information produite",Cadre,Conseil en systèmes et logiciels informatiques,APHELIO,"Aphelio est une entreprise spécialisée en cybersécurité, basée au cœur de la région Rhône-Alpes avec des bureaux sur Grenoble (Isère) et Valence (Drôme). Notre mission est de fournir des solutions de sécurité informatique de pointe adaptées aux besoins uniques de chaque client. Notre mission est de fournir des solutions de sécurité informatique de pointe adaptées aux besoins uniques de chaque client.","Aphelio est une entreprise spécialisée en cybersécurité, basée au cœur de la région Rhône-Alpes avec des bureaux sur Grenoble (Isère) et Valence (Drôme). Notre mission est de fournir des solutions de sécurité informatique de pointe adaptées aux besoins uniques de chaque client. Notre mission est de fournir des solutions de sécurité informatique de pointe adaptées aux besoins uniques de chaque client.",,38,GRENOBLE,2023/08/30
Ingénieur Data Intégration Sénior,"Minutieux et analyste de talent, diagnosticien efficace et autonome, vous déterminez les besoins des clients afin de lui apporter des solutions data performantes. Vous voulez prendre part au développement d'une activité stratégique au sein d'une entreprise qui conjugue au quotidien innovation et ambition. Rejoignez Hardis Group !   

 Chez Business Application Grenoble nous continuons de renforcer nos équipes pour consolider notre expertise Data !  
Dans le cadre de la croissance de son activité Services, Hardis Group recrute un Expert Data Intégration (H/F) avec de bonnes connaissance Talend pour renforcer ses équipes grenobloises.  
 
Vous développerez et mettrez en œuvre les solutions techniques de gestion des données et de l'intégration des flux du système d'information de nos clients, vous aurez en charge, les spécifications, la conception et l'implémentation de projets data. 

Vos missions seront de :   
- Analyser techniquement et fonctionnellement le besoin 
- Participer à la rédaction de spécifications techniques et aux procédures de livraison   
- Concevoir des procédures de transformation de données (maping)  
- Migrer et/ ou développer des flux de données de type ETL / ELT / ESB  
- Développer des tests applicatifs, définir et réaliser les procédures de tests techniques, de tests d'intégration et de recette de ces développements 
- Participer à la conception et mise en place de datawarehouse 
- Encadrer des développeurs juniors 
- Prendre en charge la maintenance évolutive et corrective en conditions opérationnelles   
- Mettre en place et faire respecter les normes de développement et d'architecture définies.


De formation bac+3 à 5, vous disposez d'une expérience similaire minimum de 5 à 7 ans.  
 
Compétences indispensables :  
- Vous disposez d'une expérience de 5 ans à 7ans minimum dans le développement de flux d'alimentation et de traitement de données 
- Maitrise d'une plateforme d'intégration de données : Talend serait un plus, sinon Informatica, Stambia, Datastage Server, Oracle Data Integrator (ODI), Tibco Jaspersoft, Azure Data Factory, Pentaho 
- Vous connaissez le langage SQL/PL-SQL et Java 
- Vous maitrisez les bases de données on-premise et/ou cloud 
- Vous disposez de véritables capacités relationnelle, rédactionnelles et analytiques.  
- Votre séniorité vous permet de saisir les enjeux Data.

Les plus :   
- Talend Enterprise Data Intégration 
- La maitrise de l'anglais professionnel. 

Votre autonomie et votre curiosité technique vous permettent de prendre en charge de nouveaux défis techniques et d'y apporter des solutions.  
 
Le sens de l'écoute et de la communication ainsi qu'une forte capacité d'adaptation sont nécessaires pour la tenue de ce poste. Enfin un esprit d'équipe sera indispensable pour nous convaincre d'intégrer Hardis.",37H30 Travail en journée,,Contrat à durée indéterminée,5 ans,,"Déterminer des mesures correctives,Réaliser un diagnostic technique,Rédiger un cahier des charges, des spécifications techniques,Application web,Concevoir une application web",Cadre,Programmation informatique,HARDIS GROUPE,500 à 999 salariés,"""Hardis Group est une ESN, une entreprise de conseil et, est éditeur de logiciels basée à Grenoble, Lyon, Paris, Nantes, Bordeaux, Lille, Madrid, Genève et Utrecht. Plus qu'une équipe, Hardis Group c'est avant tout un collectif solide de plus de 1100 collaborateurs en croissance constante depuis 34 ans. Indépendante depuis sa création Hardis Group a réalisé un chiffre d'affaires 116,4 M en 2018. ""","talend, informatica, pentaho",38,GRENOBLE,2023/08/31
